Time,Lat,Long,SS-RSRP,PCI
34:17.5,37.380219,-120.809318,-86.8,512
34:17.7,37.380227,-120.809318,-86.8,512
34:18.1,37.380227,-120.809318,-86.2,512
34:18.6,37.380227,-120.809318,-87.9,512
34:18.7,37.380233,-120.809317,-87.9,512
34:19.1,37.380233,-120.809317,-87.3,512
34:19.7,37.38024,-120.809316,-87.3,512
34:20.1,37.38024,-120.809316,-83.6,512
34:20.6,37.38024,-120.809316,-83,512
34:20.7,37.380248,-120.809315,-83,512
34:21.1,37.380248,-120.809315,-86.1,512
34:21.6,37.380248,-120.809315,-85.4,512
34:21.7,37.380257,-120.80931,-85.4,512
34:22.1,37.380257,-120.80931,-87.5,512
34:22.6,37.380257,-120.80931,-85.8,512
34:22.7,37.380265,-120.809302,-85.8,512
34:23.1,37.380265,-120.809302,-85.2,512
34:23.6,37.380265,-120.809302,-83,512
34:23.7,37.380271,-120.809293,-83,512
34:24.1,37.380271,-120.809293,-84,512
34:24.6,37.380271,-120.809293,-80.7,512
34:24.7,37.380277,-120.809285,-80.7,512
34:25.1,37.380277,-120.809285,-84.7,512
34:25.6,37.380277,-120.809285,-83.4,512
34:25.7,37.380282,-120.809277,-83.4,512
34:26.1,37.380282,-120.809277,-84.6,512
34:26.6,37.380282,-120.809277,-84.5,512
34:26.7,37.380288,-120.809267,-84.5,512
34:27.1,37.380288,-120.809267,-82.8,512
34:27.6,37.380288,-120.809267,-80.2,512
34:27.7,37.380291,-120.809257,-80.2,512
34:28.1,37.380291,-120.809257,-78,512
34:28.6,37.380291,-120.809257,-77,512
34:28.7,37.380293,-120.809247,-77,512
34:29.1,37.380293,-120.809247,-78.4,512
34:29.6,37.380293,-120.809247,-77.2,512
34:29.7,37.380293,-120.809234,-77.2,512
34:30.1,37.380293,-120.809234,-78.9,512
34:30.6,37.380293,-120.809234,-77.7,512
34:30.7,37.380291,-120.809225,-77.7,512
34:31.1,37.380291,-120.809225,-80.5,512
34:31.6,37.380291,-120.809225,-80.2,512
34:31.7,37.380289,-120.809215,-80.2,512
34:32.1,37.380289,-120.809215,-81.8,512
34:32.6,37.380289,-120.809215,-80.5,512
34:32.7,37.380287,-120.809206,-80.5,512
34:33.1,37.380287,-120.809206,-80.6,512
34:33.7,37.380287,-120.809206,-84,512
34:33.7,37.380283,-120.809196,-84,512
34:34.2,37.380283,-120.809196,-81.2,512
34:34.7,37.380283,-120.809196,-77.2,512
34:34.7,37.380284,-120.809188,-77.2,512
34:35.2,37.380284,-120.809188,-78.2,512
34:35.7,37.380284,-120.809188,-85.4,512
34:35.7,37.380287,-120.809182,-85.4,512
34:36.2,37.380287,-120.809182,-81.6,512
34:36.7,37.380287,-120.809176,-81.6,512
34:36.7,37.380287,-120.809176,-78.2,512
34:37.2,37.380287,-120.809176,-79.3,512
34:37.7,37.380288,-120.809169,-79.3,512
34:37.7,37.380288,-120.809169,-82.5,512
34:38.2,37.380288,-120.809169,-82.3,512
34:38.7,37.380289,-120.809161,-82.3,512
34:38.7,37.380289,-120.809161,-81.8,512
34:39.2,37.380289,-120.809161,-85.6,512
34:39.7,37.380287,-120.809151,-85.6,512
34:39.7,37.380287,-120.809151,-80.8,512
34:40.2,37.380287,-120.809151,-80,512
34:40.7,37.380286,-120.809141,-80,512
34:40.7,37.380286,-120.809141,-79.6,512
34:41.2,37.380286,-120.809141,-77.8,512
34:41.7,37.380286,-120.80913,-77.8,512
34:41.7,37.380286,-120.80913,-75.3,512
34:42.2,37.380286,-120.80913,-75,512
34:42.7,37.380286,-120.809119,-75,512
34:42.7,37.380286,-120.809119,-76.4,512
34:43.2,37.380286,-120.809119,-78.3,512
34:43.7,37.380291,-120.809108,-78.3,512
34:43.7,37.380291,-120.809108,-81.1,512
34:44.2,37.380291,-120.809108,-78.8,512
34:44.7,37.380293,-120.809096,-78.8,512
34:44.7,37.380293,-120.809096,-80.1,512
34:45.3,37.380293,-120.809096,-79.1,512
34:45.7,37.380293,-120.809085,-79.1,512
34:45.8,37.380293,-120.809085,-75,512
34:46.3,37.380293,-120.809085,-79.9,512
34:46.7,37.380292,-120.809075,-79.9,512
34:46.8,37.380292,-120.809075,-81.5,512
34:47.3,37.380292,-120.809075,-77.3,512
34:47.7,37.380293,-120.809063,-77.3,512
34:47.8,37.380293,-120.809063,-75.8,512
34:48.3,37.380293,-120.809063,-81.5,512
34:48.7,37.380294,-120.809051,-81.5,512
34:48.8,37.380294,-120.809051,-79,512
34:49.3,37.380294,-120.809051,-79.6,512
34:49.7,37.380294,-120.809038,-79.6,512
34:49.8,37.380294,-120.809038,-76.2,512
34:50.3,37.380294,-120.809038,-75.9,512
34:50.7,37.380294,-120.809023,-75.9,512
34:50.8,37.380294,-120.809023,-79.7,512
34:51.3,37.380294,-120.809023,-77.6,512
34:51.7,37.380295,-120.809007,-77.6,512
34:51.8,37.380295,-120.809007,-78.8,512
34:52.7,37.380294,-120.808992,-78.8,512
34:52.8,37.380294,-120.808992,-78.7,512
34:53.3,37.380294,-120.808992,-76.4,512
34:53.7,37.380295,-120.808977,-76.4,512
34:53.8,37.380295,-120.808977,-78.2,512
34:54.3,37.380295,-120.808977,-76.9,512
34:54.7,37.380291,-120.808962,-76.9,512
34:54.8,37.380291,-120.808962,-78.5,512
34:55.3,37.380291,-120.808962,-76,512
34:55.7,37.380291,-120.808947,-76,512
34:55.8,37.380291,-120.808947,-77,512
34:56.3,37.380291,-120.808947,-77.1,512
34:56.7,37.380294,-120.808932,-77.1,512
34:56.8,37.380294,-120.808932,-79.7,512
34:57.3,37.380294,-120.808932,-77.8,512
34:57.7,37.380296,-120.808918,-77.8,512
34:57.8,37.380296,-120.808918,-77.3,512
34:58.3,37.380296,-120.808918,-76.4,512
34:58.7,37.380298,-120.808903,-76.4,512
34:58.8,37.380298,-120.808903,-71.5,512
34:59.3,37.380298,-120.808903,-69.3,512
34:59.7,37.380303,-120.808889,-69.3,512
34:59.8,37.380303,-120.808889,-74.7,512
35:00.3,37.380303,-120.808889,-70.7,512
35:00.7,37.380302,-120.808875,-70.7,512
35:00.8,37.380302,-120.808875,-71,512
35:01.3,37.380302,-120.808875,-73.8,512
35:01.7,37.380305,-120.808863,-73.8,512
35:01.8,37.380305,-120.808863,-72.6,512
35:02.3,37.380305,-120.808863,-74.7,512
35:02.7,37.380309,-120.808853,-74.7,512
35:02.8,37.380309,-120.808853,-72.9,512
35:03.3,37.380309,-120.808853,-71.5,512
35:03.7,37.380314,-120.808845,-71.5,512
35:03.8,37.380314,-120.808845,-70.1,512
35:04.3,37.380314,-120.808845,-74.3,512
35:04.7,37.380315,-120.808834,-74.3,512
35:04.8,37.380315,-120.808834,-75.2,512
35:05.3,37.380315,-120.808834,-72.1,512
35:05.8,37.380315,-120.808834,-71.5,512
35:06.3,37.380315,-120.808834,-76.4,512
35:06.7,37.380311,-120.808834,-76.4,512
35:06.9,37.380311,-120.808834,-76.9,512
35:07.4,37.380311,-120.808834,-73.1,512
35:07.7,37.38031,-120.808833,-73.1,512
35:07.9,37.38031,-120.808833,-74.2,512
35:08.4,37.38031,-120.808833,-72.2,512
35:08.7,37.380311,-120.80882,-72.2,512
35:08.9,37.380311,-120.80882,-73.3,512
35:09.4,37.380311,-120.80882,-73.6,512
35:09.7,37.380314,-120.808817,-73.6,512
35:09.9,37.380314,-120.808817,-75.2,512
35:10.4,37.380314,-120.808817,-73.4,512
35:10.7,37.380314,-120.808818,-73.4,512
35:10.9,37.380314,-120.808818,-71.3,512
35:11.4,37.380314,-120.808818,-67.6,512
35:11.7,37.380315,-120.808819,-67.6,512
35:11.9,37.380315,-120.808819,-67.2,512
35:12.4,37.380315,-120.808819,-70.5,512
35:12.7,37.380316,-120.80882,-70.5,512
35:12.9,37.380316,-120.80882,-67.6,512
35:13.4,37.380316,-120.80882,-66.9,512
35:13.9,37.380316,-120.80882,-68,512
35:14.4,37.380316,-120.80882,-67.8,512
35:14.9,37.380316,-120.80882,-68.2,512
35:15.4,37.380316,-120.80882,-67.5,512
35:15.9,37.380316,-120.80882,-67.1,512
35:16.5,37.380316,-120.80882,-68,512
35:17.0,37.380316,-120.80882,-67.2,512
35:17.5,37.380316,-120.80882,-68.7,512
35:18.0,37.380316,-120.80882,-71.9,512
35:18.5,37.380316,-120.80882,-71.1,512
35:19.0,37.380316,-120.80882,-71.9,512
35:19.5,37.380316,-120.80882,-72.3,512
35:20.0,37.380316,-120.80882,-73.5,512
35:20.5,37.380316,-120.80882,-71.8,512
35:21.0,37.380316,-120.80882,-70.2,512
35:21.5,37.380316,-120.80882,-70.5,512
35:22.0,37.380316,-120.80882,-71.8,512
35:22.5,37.380316,-120.80882,-69.1,512
35:23.0,37.380316,-120.80882,-71.4,512
35:23.5,37.380316,-120.80882,-74,512
35:23.7,37.380316,-120.808823,-74,512
35:24.0,37.380316,-120.808823,-75.4,512
35:24.5,37.380316,-120.808823,-73.3,512
35:24.7,37.380316,-120.808824,-73.3,512
35:25.0,37.380316,-120.808824,-70.7,512
35:25.5,37.380316,-120.808824,-71.1,512
35:26.0,37.380316,-120.808824,-70.6,512
35:26.5,37.380316,-120.808824,-69.8,512
35:27.0,37.380316,-120.808824,-70.3,512
35:27.5,37.380316,-120.808824,-69,512
35:28.0,37.380316,-120.808824,-68,512
35:28.5,37.380316,-120.808824,-69.9,512
35:29.0,37.380316,-120.808824,-70.4,512
35:29.5,37.380316,-120.808824,-75.2,512
35:29.7,37.380316,-120.808823,-75.2,512
35:30.0,37.380316,-120.808823,-72.1,512
35:30.5,37.380316,-120.808823,-71.6,512
35:31.0,37.380316,-120.808823,-73.6,512
35:31.5,37.380316,-120.808823,-69.4,512
35:31.7,37.380314,-120.808827,-69.4,512
35:32.0,37.380314,-120.808827,-70.5,512
35:32.5,37.380314,-120.808827,-70.4,512
35:32.7,37.380314,-120.808829,-70.4,512
35:33.0,37.380314,-120.808829,-76.4,512
35:33.5,37.380314,-120.808829,-74.4,512
35:34.0,37.380314,-120.808829,-75.6,512
35:34.5,37.380314,-120.808829,-71.2,512
35:34.7,37.380313,-120.808832,-71.2,512
35:35.0,37.380313,-120.808832,-71.8,512
35:35.5,37.380313,-120.808832,-71.6,512
35:35.7,37.380312,-120.808835,-71.6,512
35:36.0,37.380312,-120.808835,-71.7,512
35:36.6,37.380312,-120.808835,-70.9,512
35:36.7,37.380312,-120.808836,-70.9,512
35:37.1,37.380312,-120.808836,-71.2,512
35:37.6,37.380312,-120.808836,-76.1,512
35:37.7,37.380311,-120.808836,-76.1,512
35:38.6,37.380311,-120.808836,-73.8,512
35:38.7,37.380312,-120.808837,-73.8,512
35:39.1,37.380312,-120.808837,-74.1,512
35:39.6,37.380312,-120.808837,-74,512
35:39.7,37.380312,-120.808838,-74,512
35:40.1,37.380312,-120.808838,-72.4,512
35:40.6,37.380312,-120.808838,-76.9,512
35:40.7,37.380312,-120.808837,-76.9,512
35:41.1,37.380312,-120.808837,-75.3,512
35:41.6,37.380312,-120.808837,-78.1,512
35:41.7,37.380313,-120.808839,-78.1,512
35:42.1,37.380313,-120.808839,-74.2,512
35:42.6,37.380313,-120.808839,-75.1,512
35:42.7,37.380319,-120.808848,-75.1,512
35:43.1,37.380319,-120.808848,-73.7,512
35:43.6,37.380319,-120.808848,-69.5,512
35:43.7,37.380321,-120.808852,-69.5,512
35:44.1,37.380321,-120.808852,-70.2,512
35:44.6,37.380321,-120.808852,-68.6,512
35:44.7,37.380322,-120.808853,-68.6,512
35:45.1,37.380322,-120.808853,-78.4,512
35:45.6,37.380322,-120.808853,-76.4,512
35:46.2,37.380322,-120.808853,-74.1,512
35:46.7,37.380322,-120.808853,-74.3,512
35:47.2,37.380322,-120.808853,-73.5,512
35:47.7,37.380322,-120.808853,-73.3,512
35:48.2,37.380322,-120.808853,-73.6,512
35:49.2,37.380322,-120.808853,-73.5,512
35:49.7,37.380322,-120.808853,-74,512
35:50.2,37.380322,-120.808853,-77.4,512
35:50.7,37.380322,-120.808853,-77,512
35:51.7,37.380322,-120.808853,-77.1,512
35:52.2,37.380322,-120.808853,-76.7,512
35:52.7,37.380322,-120.808853,-74.3,512
35:53.2,37.380322,-120.808853,-74.7,512
35:53.7,37.380322,-120.808853,-74,512
35:54.2,37.380322,-120.808853,-75.3,512
